component	source_file	stored_file	sha256	provenance
itoa@1.0.18	LICENSE-MIT	files/23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3-LICENSE-MIT	23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3	Exact crate/package file or exact upstream commit evidence
json-patch@3.0.1	LICENSE-APACHE	files/b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1-LICENSE.Apache2	b40930bbcf80744c86c46a12bc9da056641d722716c378f5659b9e555ef833e1	Exact crate/package file or exact upstream commit evidence
json-patch@3.0.1	LICENSE-MIT	files/87f7527b1066337751f7f4d717089bf514ff8f7ee7d66c4c5b891b09e744ec11-LICENSE-MIT	87f7527b1066337751f7f4d717089bf514ff8f7ee7d66c4c5b891b09e744ec11	Exact crate/package file or exact upstream commit evidence
jsonptr@0.6.3	LICENSE-APACHE	files/2cf31f2ae7f3feba667d50fc1d4d21ecf217703c04c3068b83c9a73b6dde723a-LICENSE-APACHE	2cf31f2ae7f3feba667d50fc1d4d21ecf217703c04c3068b83c9a73b6dde723a	Exact crate/package file or exact upstream commit evidence
jsonptr@0.6.3	LICENSE-MIT	files/2bc107bdc18a74263d20bdefdb8073e17bc1a01b6b374dc5835683a33ee5ba7d-LICENSE-MIT	2bc107bdc18a74263d20bdefdb8073e17bc1a01b6b374dc5835683a33ee5ba7d	Exact crate/package file or exact upstream commit evidence
jsonschema@0.54.0	LICENSE	files/117829c3ca21efb132d81a44b55363d395ab8eea18526873bc828da4c0e5f038-LICENSE	117829c3ca21efb132d81a44b55363d395ab8eea18526873bc828da4c0e5f038	Exact crate/package file or exact upstream commit evidence
jsonschema-regex@0.54.0	LICENSE	files/117829c3ca21efb132d81a44b55363d395ab8eea18526873bc828da4c0e5f038-LICENSE	117829c3ca21efb132d81a44b55363d395ab8eea18526873bc828da4c0e5f038	Exact crate/package file or exact upstream commit evidence
jsonschema-value@0.54.0	LICENSE	files/117829c3ca21efb132d81a44b55363d395ab8eea18526873bc828da4c0e5f038-LICENSE	117829c3ca21efb132d81a44b55363d395ab8eea18526873bc828da4c0e5f038	Exact crate/package file or exact upstream commit evidence
libsqlite3-sys@0.38.2	LICENSE	files/c10c1f27337546471e5f7e4e97fdd398b35b9d4e126115dcd22de8d8e65abf6f-LICENSE	c10c1f27337546471e5f7e4e97fdd398b35b9d4e126115dcd22de8d8e65abf6f	Exact crate/package file or exact upstream commit evidence
log@0.4.34	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
